日期,已审批-有效数,已审批-无效数,待审批数,总时长(分钟),待审批时长(分钟),合格时长(分钟),总时长(小时),合格时长(小时),合格率(%)
2026-03-23~27,451,110,0,1955.60,0.00,1466.28,32.59,24.44,75.0
2026-03-28,15,2,0,126.60,0.00,124.01,2.11,2.07,98.0
2026-03-29,59,23,0,541.90,0.00,405.99,9.03,6.77,74.9
2026-03-30,223,175,0,1994.80,0.00,985.02,33.25,16.42,49.4
2026-03-31,528,86,4,2849.70,32.90,2198.75,47.50,36.65,78.1
2026-04-01,668,141,4,3258.80,28.20,2330.32,54.31,38.84,72.1
2026-04-02,756,55,18,2754.20,125.60,2304.61,45.90,38.41,87.7
2026-04-03,359,39,51,2933.00,281.10,2341.64,48.88,39.03,88.3
2026-04-04,203,11,0,1239.10,0.00,1194.24,20.65,19.90,96.4
2026-04-05,67,21,0,602.70,0.00,419.90,10.04,7.00,69.7
2026-04-06,125,0,0,822.50,0.00,822.08,13.71,13.70,99.9
2026-04-07,318,62,16,2251.40,78.00,1758.91,37.52,29.32,80.9
2026-04-08,261,95,100,2708.90,629.00,1486.22,45.15,24.77,71.5
2026-04-09,12,0,459,3078.00,2985.20,92.80,51.30,1.55,100.0
2026-04-10,0,0,611,2961.70,2961.70,0.00,49.36,0.00,0.0
合计,4045,820,1263,30078.90,7121.70,17930.77,501.31,298.85,78.1
