设备,已审批数,待审批数,总时长(分钟),待审批时长(分钟),合格时长(分钟),总时长(小时),合格时长(小时),合格率(%)
007e,462,185,1733,206,1380,28.88,23.00,79.6
0af6,133,248,2443,1411,467,40.72,7.79,19.1
23dc,256,183,2473,888,1342,41.21,22.37,54.3
25a8,459,20,559,61,491,9.31,8.18,87.9
46dd,512,24,2179,218,1664,36.31,27.73,76.4
6bc0,261,168,2865,1189,1214,47.74,20.23,42.4
75c7,145,58,1296,405,71,21.60,1.18,5.4
8128,8,210,678,614,43,11.30,0.72,6.4
a37b,155,241,1963,1094,717,32.71,11.95,36.5
aaaa,30,64,562,442,96,9.37,1.60,17.1
abe0,334,222,3416,1228,2027,56.93,33.78,59.3
fc2a,314,105,1789,734,893,29.81,14.88,49.9
