日期,不合格数,待审批数,总计,涉及设备数,主要问题原因
2026-03-23,199,0,199,17,手出画面(10.00) (15次)
2026-03-24,167,0,167,17,手出画面(10.01) (7次)
2026-03-25,298,0,298,20,未按照规定动作操作(10.00) (17次)
2026-03-26,406,0,406,33,手出画面(10.00) (26次)
2026-03-27,168,0,168,19,手出画面(10.00) (16次)
2026-03-28,161,0,161,21,脱下设备(10.00) (5次)
2026-03-29,109,0,109,14,未工作(9.99) (6次)
2026-03-30,540,0,540,30,未按照规定动作操作(10.00) (18次)
2026-03-31,431,4,435,28,手出画面(10.00) (7次)
2026-04-01,541,4,545,25,手出画面(10.00) (10次)
2026-04-02,285,42,327,28,无意义动作(9.95) (4次)
2026-04-03,265,51,316,18,严重频闪(10.00) (7次)
2026-04-04,93,44,137,8,未按照规定工作(10.00) (5次)
2026-04-05,105,0,105,7,未按照规定工作(10.00) (4次)
2026-04-06,82,182,264,14,无意义动作(10.00) (5次)
2026-04-07,208,346,554,26,手出画面(10.00) (14次)
2026-04-08,218,552,770,20,手出画面(9.99) (12次)
2026-04-09,0,1496,1496,31,待审批
2026-04-10,0,1534,1534,29,待审批
